Loan Date Quarter,BorrowerState,LoanAmount
2008-Q1,TN,451400
2008-Q1,TX,360204
2008-Q1,UT,285498
2008-Q1,VA,899698
2008-Q1,VT,44500
2008-Q1,WA,978488
2008-Q1,WI,349244
2008-Q1,WV,83890
2008-Q1,WY,14500
2008-Q2,AK,47400
2008-Q2,AL,208062
2008-Q2,AR,106750
2008-Q2,AZ,476370
2008-Q2,CA,3123674
2008-Q2,CO,323847
2008-Q2,CT,300600
2008-Q2,DC,125500
2008-Q2,DE,86999
2008-Q2,FL,1713715
2008-Q2,GA,1239925
2008-Q2,HI,96804
2008-Q2,IA,134300
2008-Q2,ID,79910
2008-Q2,IL,1007700
2008-Q2,IN,309075
2008-Q2,KS,208025
2008-Q2,KY,138000
2008-Q2,LA,61300
2008-Q2,MA,432995
2008-Q2,MD,609376
2008-Q2,ME,121350
2008-Q2,MI,553336
2008-Q2,MN,464264
2008-Q2,MO,455650
2008-Q2,MS,127250
2008-Q2,MT,44350
2008-Q2,NC,635574
2008-Q2,ND,21700
2008-Q2,NE,101000
2008-Q2,NH,73850
2008-Q2,NJ,454965
2008-Q2,NM,29000
2008-Q2,NV,224800
2008-Q2,NY,936873
2008-Q2,OH,716099
2008-Q2,OK,165075
2008-Q2,OR,259070
2008-Q2,PA,550140
2008-Q2,RI,48821
2008-Q2,SC,236290
2008-Q2,TN,337445
2008-Q2,TX,385249
2008-Q2,UT,156721
2008-Q2,VA,861484
2008-Q2,VT,27900
2008-Q2,WA,642848
2008-Q2,WI,237265
2008-Q2,WV,99500
2008-Q2,WY,22875
2008-Q3,AL,30500
2008-Q3,AR,20700
2008-Q3,AZ,47500
2008-Q3,CA,444469
2008-Q3,CO,92905
2008-Q3,CT,14500
2008-Q3,DC,20800
2008-Q3,DE,1200
2008-Q3,FL,241200
2008-Q3,GA,194300
2008-Q3,HI,5900
2008-Q3,IA,15300
2008-Q3,ID,6400
2008-Q3,IL,167800
2008-Q3,IN,84750
2008-Q3,KS,42000
2008-Q3,KY,30000
2008-Q3,LA,32999
2008-Q3,MA,57780
2008-Q3,MD,100900
2008-Q3,ME,12000
2008-Q3,MI,67050
2008-Q3,MN,27900
2008-Q3,MO,64499
2008-Q3,MS,17500
2008-Q3,MT,7000
2008-Q3,NC,97850
2008-Q3,ND,4500
2008-Q3,NE,7700
2008-Q3,NH,22495
2008-Q3,NJ,41999
2008-Q3,NM,1500
2008-Q3,NV,29000
2008-Q3,NY,108400
2008-Q3,OH,98899
2008-Q3,OK,40229
2008-Q3,OR,17500
2008-Q3,PA,54199
2008-Q3,RI,6000
2008-Q3,SC,38500
2008-Q3,TN,41750
2008-Q3,TX,75000
2008-Q3,UT,26700
2008-Q3,VA,178299
2008-Q3,VT,6700
2008-Q3,WA,142250
2008-Q3,WI,50255
2008-Q3,WV,4200
